TIME,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,GloblRad,UVI,Cloud
2022/1/1 00:00,15.3,2.12,0.26,0.05,0.7,10.7,11.4,35.2,12,10,0,90,0.9,2.17,88,98,2,1.7,0,0,...
2022/1/1 01:00,15.3,2.14,0.31,0.05,0.8,12,12.8,33.8,13,8,0,91,1,2.19,91,100,1.7,1.6,0,0,...
2022/1/1 02:00,15.4,2.18,0.3,0.05,0.4,10.1,10.5,34.6,15,11,0,90,1.1,2.23,91,106,1,1.2,0,0,...
2022/1/1 03:00,15.5,2.19,0.29,0.06,0.5,9.5,10.1,34.5,14,9,0,91,1,2.25,107,91,1.9,1.3,0,0,...
2022/1/1 04:00,15.5,2.17,0.29,0.06,0.4,7.6,8,36.5,19,12,0,90,1,2.23,98,112,1.7,1.4,0,0,...
2022/1/1 05:00,15.7,2.18,0.29,0.05,0.3,8.1,8.5,33.3,25,15,0,89,1,2.23,92,92,1.9,1.5,0,0,...
2022/1/1 06:00,16,2.17,0.31,0.05,0.7,12.8,13.5,27.7,23,12,0,87,1.3,2.22,86,97,1.3,1.3,0.01,0,...
2022/1/1 07:00,16.3,2.19,0.34,0.06,1.6,16.8,18.5,25.3,23,16,0,86,0.8,2.25,87,79,0.6,0.9,0.06,0,10
2022/1/1 08:00,16.6,2.21,0.41,0.09,2.7,24.5,27.2,18,26,12,0,86,0.8,2.3,58,35,0.6,0.5,0.16,0,10
2022/1/1 09:00,16.8,2.27,0.52,0.16,3.9,26.3,30.3,15,33,17,0,86,0.9,2.43,354,2,0.3,0.2,0.26,1,...
2022/1/1 10:00,17.6,2.28,0.53,0.18,7.2,25.7,33,17.4,36,15,0,82,0.9,2.46,129,302,0.9,0,0.8,2,10
2022/1/1 11:00,18.5,2.24,0.48,0.15,6.9,21.3,28.3,23.7,32,15,0,77,1.2,2.39,183,296,1,0.1,1.63,3,...
2022/1/1 12:00,18.7,2.25,0.54,0.16,5.1,23.3,28.5,24.4,30,21,0,75,1.7,2.41,13,11,1.1,0.4,0.64,2,...
2022/1/1 13:00,19.3,2.28,0.61,0.19,7.7,28.8,36.6,22.5,33,22,0,73,1.4,2.47,337,36,1,0.3,0.97,2,8
2022/1/1 14:00,19.4,2.26,0.56,0.17,6.5,26.3,32.8,25.4,33,19,0,74,1.2,2.43,7,17,0.9,0.6,0.76,1,...
2022/1/1 15:00,19.5,2.17,0.43,0.12,3.3,15.5,18.9,34.9,24,13,0,72,1.1,2.29,4,80,0.9,0.4,0.92,1,...
2022/1/1 16:00,18.8,2.11,0.32,0.09,4,21.7,25.8,22.4,22,11,0,77,1.1,2.2,70,82,2.3,1.5,0.23,0,7
2022/1/1 17:00,18,2.12,0.35,0.09,4.3,23,27.4,18.9,13,11,0,81,1,2.21,88,89,1.9,1.6,0.01,0,...
2022/1/1 18:00,17.8,2.16,0.41,0.14,5.6,27.3,33,14.4,20,12,0,81,0.8,2.3,87,80,1.2,1.2,0,0,...
2022/1/1 19:00,17.5,2.16,0.39,0.13,7.9,28.8,36.7,13.8,16,8,0,85,0.8,2.29,85,76,1.6,1.2,0,0,...
2022/1/1 20:00,17.2,2.16,0.35,0.11,4,24.1,28.1,16.7,8,6,0,87,0.9,2.27,84,88,1.6,1.4,0,0,...
2022/1/1 21:00,17,2.17,0.38,0.13,5.2,27,32.2,13.5,12,9,0,89,1,2.3,86,82,1.8,1.4,0,0,...
2022/1/1 22:00,17.1,2.15,0.39,0.11,3,22.6,25.7,16.8,13,7,0,88,0.9,2.26,73,68,0.7,1,0,0,...
2022/1/1 23:00,17,2.18,0.38,0.1,1.6,22.1,23.8,16.8,10,6,0,88,0.8,2.28,68,108,0.5,0.6,0,0,...
2022/1/2 00:00,16.6,2.37,0.45,0.15,1.5,23.3,24.9,13.2,14,5,0,90,0.6,2.52,132,135,0.6,0.5,0,0,...
2022/1/2 01:00,16.3,2.41,0.44,0.18,2.5,21,23.6,7.4,15,8,0,89,0.6,2.59,118,321,0.3,0.2,0,0,...
2022/1/2 02:00,15.9,2.69,0.71,0.27,7.8,29.5,37.3,0.1,21,10,0,92,0.6,2.96,335,31,0.3,0.2,0,0,...
2022/1/2 03:00,15.9,2.53,0.47,0.2,5,20.2,25.2,4.8,16,12,0,90,0.6,2.73,152,160,1,0.7,0,0,...
2022/1/2 04:00,16.1,2.35,0.3,0.1,1,11,12.1,10.8,12,10,0,85,0.5,2.45,130,142,0.9,0.4,0,0,...
2022/1/2 05:00,16.3,2.33,0.29,0.1,0.5,9.3,9.8,10.2,9,7,0,85,0.5,2.43,107,154,0.6,0.2,0,0,...
2022/1/2 06:00,16.3,2.55,0.39,0.13,1.8,14.1,16,5.8,14,9,0,86,0.5,2.68,61,60,0.3,0.3,0.02,0,...
2022/1/2 07:00,16.6,2.53,0.48,0.17,9.1,19.2,28.3,2.4,14,9,0,86,0.6,2.7,61,328,0.5,0.1,0.2,0,10
2022/1/2 08:00,17.1,2.52,0.55,0.19,13.1,19.7,32.8,4,17,9,0,85,0.7,2.71,126,146,0.8,0.3,0.5,1,10
2022/1/2 09:00,17.7,2.35,0.43,0.14,8.8,20.5,29.3,13.7,14,8,0,85,0.6,2.49,86,95,2.1,1.2,0.44,1,...
2022/1/2 10:00,18.5,2.17,0.31,0.07,4,13.7,17.7,29.2,15,7,0,77,0.5,2.24,95,93,2.7,2,1.03,3,9
2022/1/2 11:00,19.2,2.12,0.28,0.05,2.6,11.2,13.9,33.1,20,8,0,69,0.6,2.17,73,90,2.2,1.7,1.01,3,...
2022/1/2 12:00,19.1,2.12,0.29,0.06,2.5,11.9,14.4,33.3,22,8,0,69,0.5,2.18,87,74,2.4,2.1,0.91,2,...
2022/1/2 13:00,19.1,2.13,0.34,0.06,2.7,12.8,15.6,34.3,14,14,0,69,0.6,2.19,78,71,1.8,1.8,1.18,3,9
2022/1/2 14:00,19,2.14,0.34,0.06,2.7,14.1,16.9,36.8,28,14,0,68,0.6,2.2,90,79,2.4,2,0.84,2,...
2022/1/2 15:00,18.5,2.14,0.35,0.06,1.7,13.7,15.4,36.4,27,15,0,71,0.6,2.2,96,81,1.5,2,0.42,1,...
2022/1/2 16:00,18.2,2.14,0.37,0.08,1.4,15.4,16.8,36,30,14,0,73,0.6,2.22,98,87,1.9,2.1,0.14,0,9
2022/1/2 17:00,17.9,2.18,0.46,0.11,1.7,24,25.8,27,28,19,0,75,0.5,2.29,96,100,2,1.7,0.01,0,...
2022/1/2 18:00,17.7,2.18,0.47,0.13,2.1,26,28.2,25.1,32,16,0,78,0.7,2.31,92,97,2.3,1.7,0,0,...
2022/1/2 19:00,17.6,2.18,0.43,0.11,1.4,21.5,22.9,31.3,32,13,0,80,0.8,2.29,98,96,2.1,1.8,0,0,...
2022/1/2 20:00,17.5,2.19,0.43,0.11,0.8,20.5,21.3,34.8,28,15,0,82,0.8,2.3,90,104,1.3,1.5,0,0,...
2022/1/2 21:00,17.5,2.22,0.47,0.12,0.8,22.5,23.4,35.4,35,19,0,82,0.8,2.34,105,102,1.5,1.3,0,0,...
2022/1/2 22:00,17.4,2.21,0.47,0.1,0.9,22.7,23.6,39.1,38,25,0,81,0.9,2.31,88,90,1.9,1.4,0,0,...
2022/1/2 23:00,17.3,2.21,0.43,0.09,0.3,16.8,17.2,45.8,33,23,0,83,0.8,2.3,87,84,1.6,1.5,0,0,...
2022/1/3 00:00,17.1,2.21,0.41,0.07,0.5,12.9,13.4,49.8,48,21,0,85,0.9,2.28,82,96,1.4,1.2,0,0,...
2022/1/3 01:00,17.5,2.24,0.4,0.07,0.6,12.4,13.1,47.8,39,25,0,83,1,2.31,78,78,0.9,1,0,0,...
2022/1/3 02:00,17.4,2.27,0.38,0.06,0.5,9.8,10.3,49,37,23,0,83,1,2.33,89,71,0.8,1,0,0,...
2022/1/3 03:00,17.1,2.29,0.37,0.07,0.6,8.1,8.8,#                              ,33,22,0,85,1.1,2.36,81,85,1.2,0.7,0,0,...
2022/1/3 04:00,17,2.28,0.38,0.06,0.6,7.6,8.2,#                              ,36,17,0,84,1,2.34,85,93,0.9,1,0,0,...
2022/1/3 05:00,17,2.32,0.4,0.08,0.6,9.4,10,#                              ,34,22,0,84,0.9,2.4,75,71,0.9,0.5,0,0,...
2022/1/3 06:00,17.1,2.3,0.45,0.09,0.6,17.2,17.9,31.7,42,22,0,82,1.1,2.39,80,94,0.6,0.7,0.01,0,...
2022/1/3 07:00,17.5,2.31,0.62,0.14,2.6,33.7,36.3,17.7,40,27,0,80,1.3,2.45,83,90,0.9,0.7,0.14,0,10
2022/1/3 08:00,18.1,2.27,0.75,0.17,10.1,35.5,45.6,17.3,47,28,0,76,1.4,2.44,82,78,1,1.1,0.74,1,7
2022/1/3 09:00,19.3,2.23,0.63,0.15,8.5,27.5,36,27.2,46,27,0,71,1.4,2.38,86,86,2.5,1.6,1.67,2,...
2022/1/3 10:00,19.9,2.2,0.52,0.13,6.3,22.4,28.8,33.6,48,#                              ,0,68,1.3,2.33,85,89,2,1.8,1.88,3,7
2022/1/3 11:00,20.6,2.17,0.44,0.1,4.4,16,20.5,42.2,40,#                              ,0,66,1.2,2.27,82,105,2.2,1.8,2.02,4,...
2022/1/3 12:00,21,2.19,0.44,0.09,3.8,15.7,19.5,43.7,32,21,0,64,1.2,2.28,97,85,2.8,2,2.31,4,...
2022/1/3 13:00,20.8,2.16,0.4,0.07,2.7,13.1,15.9,47.5,39,21,0,65,1.1,2.23,87,88,2.4,2.3,2.08,4,4
2022/1/3 14:00,20.7,2.16,0.43,0.08,3.2,16.6,19.8,44,33,19,0,65,1.1,2.24,82,81,2.7,2.1,1.6,2,...
2022/1/3 15:00,20.1,2.16,0.44,0.07,2.9,19.2,22.1,42,33,20,0,68,1.1,2.23,77,87,2.8,2.1,0.55,1,...
2022/1/3 16:00,19.7,2.17,0.44,0.08,2.1,19,21.1,40,32,19,0,71,1,2.25,87,88,2,2.2,0.23,0,8
2022/1/3 17:00,19.4,2.17,0.55,0.12,2.1,27.4,29.5,31.4,34,16,0,75,1.4,2.29,87,89,2.2,2,0.01,0,...
2022/1/3 18:00,18.9,2.21,0.7,0.2,4.2,39.2,43.5,16.8,35,17,0,79,1.7,2.41,84,82,2.6,1.9,0,0,...
2022/1/3 19:00,18.8,2.21,0.65,0.19,4.9,37.4,42.4,13.6,30,16,0,80,1.4,2.4,90,100,2.6,2.1,0,0,...
2022/1/3 20:00,18.8,2.21,0.57,0.17,4.6,34.1,38.8,12.8,30,12,0,81,1.4,2.38,88,83,2,1.8,0,0,...
2022/1/3 21:00,18.7,2.2,0.52,0.15,3.4,30.5,34,16.7,25,12,0,81,1.5,2.35,89,90,2.1,1.9,0,0,...
2022/1/3 22:00,18.5,2.19,0.46,0.11,2.3,26.2,28.6,21.3,27,12,0,81,1.4,2.3,87,82,2.5,1.9,0,0,...
2022/1/3 23:00,18.7,2.18,0.37,0.1,1.3,18.2,19.6,29.1,21,14,0,82,1.5,2.28,90,90,2.4,1.9,0,0,...
2022/1/4 00:00,18.4,2.16,0.32,0.1,0.5,13.8,14.4,36.8,21,12,0,83,1.4,2.26,93,96,2.5,1.8,0,0,...
2022/1/4 01:00,18,2.15,0.25,0.04,0.9,6.6,7.6,41.4,18,14,0,86,1.1,2.19,89,85,2.4,2,0,0,...
2022/1/4 02:00,17.8,2.15,0.25,0.03,1,7.4,8.5,40.5,18,15,0,89,1.7,2.18,96,101,2.8,2,0,0,...
2022/1/4 03:00,17.8,2.14,0.23,0.02,1,7.1,8.1,40.9,19,11,0,89,1.9,2.16,100,96,2.7,2.2,0,0,...
2022/1/4 04:00,17.7,2.14,0.23,0.02,1,6,7.1,42.6,16,11,0,89,1.6,2.16,95,89,2.2,2.1,0,0,...
2022/1/4 05:00,17.6,2.16,0.25,0.03,1.1,6.8,7.9,40.1,13,13,0,90,1.9,2.19,90,97,1.6,1.7,0,0,...
2022/1/4 06:00,17.4,2.16,0.29,0.04,1.6,13.5,15.2,32.7,8,11,0,91,1.5,2.2,88,93,2.7,1.9,0.01,0,...
