PM2.5平均,人口密度,遷入人數,遷出人數,工業,服務業,農林漁牧,可支配所得,工業區分布,Covid確診數,機動車輛登記數,假日_出口,平日_出口,交通死傷數,大型焚化廠處理量,營造業家數,都市計畫區面積,違反列管毒性化學運作家次,事業廢水列管家數,豬隻密度,工廠密度,營運中工廠數,道路面積,台電售電量,森林佔土地比,觀光旅館住用率
16.2,9872.19,122673,142695,18.85,80.91,0.24,372359,0.01,0,1763824,20093,20148,1048,800092,1284,271.8,8,599,3.1,3.87,1053,18352,8787,42.28,72.24
15.22,9818.16,128286,147918,18.81,81.02,0.17,381305,0,0,1757922,18099,18272,1041,793146,1308,271.8,12,605,2.47,3.66,996,18266,8749,42.28,73.06
14.09,9731.58,125536,152509,18.25,81.62,0.13,399047,0,0,1767624,17239,17222,1115,820955,1334,271.8,18,603,0.17,3.69,1004,18277,8730,42.28,73.32
13.12,9574.76,117562,162002,18.63,81.27,0.09,398496,0,8,1762194,17942,18430,1293,789365,1344,271.8,12,666,0.11,3.6,979,18274,8569,42.28,74.56
13.28,9287.7,108058,184155,19.14,80.71,0.16,436019,0,4869,1770505,13562,16132,1253,794637,1360,271.8,22,839,0.11,3.645,992,18283,8227,42.28,28.13
17.34,1942.29,160711,161316,35.28,64.03,0.69,303193,0.01,0,"3206986	",21328,22524,1085,903873,2066,1247.11,46,2058,28.5,8.92,18304,45905,9907,75.75,49.55
15.34,1946.69,170722,166692,34.89,64.5,0.61,311070,0.02,0,3212215,21909,22657,1167,903661,2094,1247.14,39,2425,27.62,8.94,18344,45555,10024,75.75,43.16
13.37,1957.89,177246,157582,34.01,65.25,0.74,336315,0.01,0,3230678,22534,23534,1225,895280,2103,1228.46,48,2753,26.95,8.97,18404,45649,9968,75.75,45.24
12.81,1963.86,173605,163028,32.2,67.19,0.61,354785,0.01,18,3252789,21793,22960,1421,903509,2132,1229.36,22,3088,25.86,8.93,18333,45719,9972,75.75,55.68
12.62,1952.73,166656,186661,32.27,67.28,0.45,354962,0.01,6918,3294089,15343,19444,1471,908211,2126,1239.56,35,3294,27.1,8.95,18369,45940,10312,75.75,38.98
17.65,1792.06,107644,78126,45.37,53.56,1.07,291563,0.07,0,"1921681	",19279,20842,1862,440703,1394,322.5,74,2642,128.65,8.68,10601,41483,22837,38.6,77.25
17.93,1818.96,107880,84770,45.23,53.72,1.05,305615,0.09,0,"1972423	",19983,21707,1847,439825,1418,322.43,48,3232,125.38,8.98,10967,41370,22813,38.6,77.34
16.05,1842.03,105690,87168,44.23,54.82,0.95,305432,0.05,0,"2033595	",23281,24633,2496,427231,1444,322.43,71,3512,117.4,9.19,11222,41373,22047,38.6,69.3
13.85,1858.22,105073,93567,43.22,55.68,1.1,313681,0.05,15,"2078361	",18707,20918,2834,427118,1467,322.43,175,3999,110.05,9.35,11411,41357,21693,38.6,70.01
14.32,1861.16,101473,103941,42.8,56.1,1.1,325948,0.05,789,2124850,13718,18461,2677,415434,1491,321.91,116,4396,99.97,9.27,11317,41375,23445,38.6,32.35
20.18,1258.33,125331,112934,38.91,58.15,2.94,279575,0.04,0,2766307,11786,10895,2236,803938,2486,538.86,18,2430,54.88,8.25,18281,64781,20843,51.45,65.31
16.78,1265.93,129049,117781,39.48,57.28,3.24,291906,0.06,0,2800681,12265,11772,2042,787366,2548,538.88,14,3003,47.97,8.44,18696,65238,22330,51.45,64.37
17.65,1271.06,124952,117470,40.77,56.12,3.11,302789,0.03,0,2835886,11950,11567,2006,802619,2601,539.18,7,3493,44.43,8.58,19001,65486,23010,51.45,58.1
15.36,1273.55,123707,120288,40.63,56.82,2.55,320558,0.03,5,2872294,11901,11609,1986,782957,2668,538.64,1,3383,44.62,8.57,18977,65650,24157,51.45,59.91
16.92,1270.26,121383,128538,37.77,59.26,2.97,323987,0.03,202,2920629,9256,11046,2044,749510,2719,538.69,2,3662,42.98,8.575,18989,65858,25395,51.45,45.26
